path,artist_name,song_name,features,features11
folder5/Joseph Attieh - Omer Aasal  [Official Music Video] (2018) ⧸  جوزيف عطية - عمرعسل [E9tpnxhJ_48].mp3,Joseph Attieh ,folder5/Joseph Attieh ,"[0.38850108, 2582.155970900991, 2660.7954846810662, 5800.216065158792, 20.950583099243083, 0.18444193911283252, 0.56816065, 0.273053, 10.338763, 0.23345114, 2.5978730824651857, -0.003870365414735054, 0.19230174, 0.12799352012191345]",
folder5/Issam Kamal - HAJTI FGRINI (clip officiel) [2H5m5Pdj1GY].mp3,Issam Kamal ,folder5/Issam Kamal ,"[0.36986095, 2659.7670756124, 2512.939631916631, 5621.558591584673, 20.82105588603958, 0.16804254599485735, 0.599754, 0.27655458, 7.6171455, -0.90908587, 2.564448782746201, 0.010950080316458478, 0.17590106, 0.13843379213520218]",
folder5/Madian - Shagaa  ｜ مدين - شجع [UeltKnkCmpk].mp3,Madian ,folder5/Madian ,"[0.38650006, 2651.7054795790964, 2566.2795679451992, 5639.088524031501, 21.099348393313463, 0.18466430362303962, 0.56672823, 0.2729328, 15.360836, 4.3625426, 3.964886143979451, -0.004659473706682588, 0.26020366, 0.1337802601199094]",
folder5/Mahmoud El Esseily - 7elm B3eed - Exclusive Music Video ｜ 2018 ｜ محمود العسيلى - حلم بعيد [PgAqinUGdfU].mp3,Mahmoud El Esseily ,folder5/Mahmoud El Esseily ,"[0.42147398, 2996.1512648603803, 2714.018901510862, 6389.850420286449, 20.893635304288285, 0.20492048877312097, 0.61005485, 0.27689266, 25.087864, 3.4396315, 4.652030534023724, 0.0019598231640429674, 0.3309904, 0.16262710532575209]",
folder5/IN-S - Lila (Clip Officiel) [iiZzwIyxgmU].mp3,IN,folder5/IN,"[0.3899537, 2774.0774943371007, 2514.066556022884, 5748.551149844089, 21.00369826135201, 0.17410936132661164, 0.5038226, 0.2596311, 17.060694, 1.0897968, 3.323912731385565, 0.010221674031140951, 0.24837293, 0.14739688242433632]",
folder5/Kader Japonais - Y'en a marre (Official Video Lyrics) 2019 [4VSyjpcXVoI].mp3,Kader Japonais ,folder5/Kader Japonais ,"[0.36179528, 2645.049867560989, 2488.8720059492503, 5648.337996352954, 21.266657195529092, 0.20191958479094727, 0.59342015, 0.27685016, 19.543543, 2.4198759, 4.818533192461306, 0.0026856254267974946, 0.30810252, 0.14031433413368258]",
folder5/Fouad Abdul Wahed … Araby - Lyrics Video ｜ فـؤاد عبد الواحد … عربي - بالكلمات [38Vz9aPtypo].mp3,Fouad Abdul Wahed … Araby ,folder5/Fouad Abdul Wahed … Araby ,"[0.4132534, 3109.217205501937, 2748.861129885494, 6628.735864071446, 20.72665217627588, 0.19213684223483915, 0.46499532, 0.2545695, 5.9768825, 1.9603959, 2.340567718006927, -0.007911097707139957, 0.16561264, 0.16234528442072202]",
folder5/Jannat … Anta Elehsas - With Lyrics ｜ جنات … انت الاحساس - بالكلمات [DJFMOvDiBsU].mp3,Jannat … Anta Elehsas ,folder5/Jannat … Anta Elehsas ,"[0.32873327, 2184.276882602456, 2276.9540657249327, 4644.393702670045, 21.51848836411442, 0.11015419190675266, 0.49746764, 0.25879678, 8.711525, -0.15900539, 2.1329209930974864, -0.0011052234376467567, 0.16663483, 0.10636600119364434]",
folder5/Klash Ft. L.K. ｜ قيد ياغشيم - فصل الخطاب ｜ Westcoast G'Z [BJUNK3eJDoM].mp3,Klash Ft. L.K. ｜ قيد ياغشيم ,folder5/Klash Ft. L.K. ｜ قيد ياغشيم ,"[0.3761457, 2214.669327886707, 2290.906599847069, 4496.2414638074615, 20.434997769309366, 0.14655792303531928, 0.5462409, 0.27527308, 8.546021, -1.7359562, 2.4062698455736236, -0.001822178011490765, 0.18144983, 0.10650901834493924]",
folder5/Ibrahim Al Amir - Eza Ma -Exclusive (Video Clip) ｜ ابراهيم الأمير - اذا ما - فديو كليب [nctFMvQzvUw].mp3,Ibrahim Al Amir ,folder5/Ibrahim Al Amir ,"[0.3300756, 2423.4393668049615, 2344.8636186681842, 4877.5842124920755, 20.7489960639837, 0.13929195004580316, 0.4820057, 0.25988358, 8.813879, -1.4644536, 2.3565399067133606, -8.101589709216845e-05, 0.17661712, 0.12295966804643993]",
folder5/Fares Karam ... Hobbik Baram - Video Clip ｜ فارس كرم ... حبك برم - فيديو كليب [Uxsw0D6Bous].mp3,Fares Karam ... Hobbik Baram ,folder5/Fares Karam ... Hobbik Baram ,"[0.385186, 2603.667002085882, 2433.732760021718, 5309.7552546212955, 20.603458758541297, 0.1979982802912922, 0.5215854, 0.264819, 13.735857, 3.7776654, 3.679269779575032, 0.021031356265224364, 0.25276223, 0.1452565473286023]",
folder5/Mahmoud El Leithy -  Men El Nahrda  ｜ محمود الليثى - من النهاردة [EAl17_px4EQ].mp3,Mahmoud El Leithy ,folder5/Mahmoud El Leithy ,"[0.38605604, 2858.588937207431, 2532.6044221120464, 5997.758438607515, 21.486432791802542, 0.23331457435165706, 0.5361037, 0.26923087, 7.2858634, 1.0455344, 2.7530289203358227, 0.004084023616562563, 0.18410191, 0.17243711559670544]",
folder5/Mady - Shahr El Asal ｜ مادى -  شهر العسل [PgfgDD7H2qU].mp3,Mady ,folder5/Mady ,"[0.33273587, 2723.0659184447823, 2512.580846320417, 5728.655845357868, 21.45961281848529, 0.16241111641219927, 0.50806576, 0.26623714, 9.966119, -0.82307625, 2.9360029613696588, 0.0069105503552817395, 0.20003936, 0.15363293376780496]",
folder5/Klay - Combat (Freestyle 2) [_soeK_SSQ6g].mp3,Klay ,folder5/Klay ,"[0.49979076, 2703.918153882531, 2277.664381540688, 5139.359317248381, 19.53955642219063, 0.2119311650161237, 0.5762555, 0.27145785, 11.890212, 2.185119, 3.6221596450786704, 0.008261424935193084, 0.22220133, 0.16041043438488925]",
folder5/Kafon - Hope (Prod. by Asmaros) [JpgZHV8JPAc].mp3,Kafon ,folder5/Kafon ,"[0.33713442, 2822.0458591308607, 2501.5644582619684, 5734.470342120853, 21.591476553162675, 0.1755212941723519, 0.5119497, 0.26493916, 2.3002474, -4.3730187, 1.4704470602321102, 0.006924788202150994, 0.10297321, 0.1573433709236064]",
folder5/LiL Eazy - Mathaher ( Ma Hametoni ) ｜ ( ليل ايزي - مظاهر ( ماهميتوني [1K1buWv4vQg].mp3,LiL Eazy ,folder5/LiL Eazy ,"[0.4496222, 1728.0424100864814, 2144.7196774963445, 3591.023500802573, 20.70615640394476, 0.18689395677312473, 0.3916406, 0.23420693, 16.505222, 4.4820147, 2.6075310220403516, -0.021619151753024087, 0.22974426, 0.05166927527561915]",
folder5/Farrah Yousef – Mako B Halatak (Video Clip) ｜فرح يوسف - ماكو بحلاتك (فديو كليب) ｜2018 [uyCyCsEVTE8].mp3,Farrah Yousef – Mako B Halatak (Video Clip) ｜فرح يوسف ,folder5/Farrah Yousef – Mako B Halatak (Video Clip) ｜فرح يوسف ,"[0.27700186, 2217.1264455156575, 2274.360535324077, 4768.120136421135, 21.769447050277183, 0.20518732288716193, 0.47468364, 0.25382972, 17.856777, 1.647679, 3.90183282691334, -0.010064160884024348, 0.27724898, 0.11157315138449778]",
folder5/ISSAM - Trap Beldi (Prod Adam K) [pcpAh78saoo].mp3,ISSAM ,folder5/ISSAM ,"[0.42588884, 2002.1326291003606, 2205.538682020356, 4073.0600530450993, 20.385700054479127, 0.1677061280612795, 0.50887454, 0.25881508, 17.144571, 2.8765545, 2.9966991718433547, -0.0026831613588576323, 0.23944445, 0.0834817125536294]",
folder5/IN-S feat Kafon - DALOULA - [ Part.1] [fBpPGRVRbME].mp3,IN,folder5/IN,"[0.41418383, 2292.115505934522, 2335.33199288176, 4778.074817701942, 20.875127973652056, 0.16614282342197034, 0.55629355, 0.26458788, 18.771183, 2.3050652, 3.655722813254655, 0.008161303913080916, 0.26376486, 0.1103787657994846]",
folder5/Karim Nour - 3atel 3an El 3amal [Music Video] (2018) ⧸ كريم نور - عاطل عن العمل [WuwYxtPwZOU].mp3,Karim Nour ,folder5/Karim Nour ,"[0.3929316, 2808.146550249412, 2493.020033048043, 5760.880908190143, 20.79527787900487, 0.17956839726217125, 0.54637027, 0.26989564, 3.6131375, -2.0511365, 1.9059801250037767, 0.005979678465846752, 0.12449025, 0.1580111966703226]",
folder5/Ktone - Gouli Bazz (EXCLUSIVE Music Video) ｜ (كا تون - قولي باز (فيديو كليب [xPAPho1bNWw].mp3,Ktone ,folder5/Ktone ,"[0.42236373, 2572.2684048612823, 2290.493886105368, 4993.451894396758, 20.36588140792506, 0.181873906801147, 0.5536903, 0.2732179, 15.199308, 0.8982165, 3.710759320273958, -0.003170800281645676, 0.2364037, 0.1512715486323642]",
folder5/Khaled BoSakhar – Daqat Qalbi (Video Clip) ｜خالد بوصخر - دقة قلبي (فديو كليب) ｜2018 [6KweiDlnKVs].mp3,Khaled BoSakhar – Daqat Qalbi (Video Clip) ｜خالد بوصخر ,folder5/Khaled BoSakhar – Daqat Qalbi (Video Clip) ｜خالد بوصخر ,"[0.36324385, 2299.782808017318, 2231.9473215773974, 4566.382048162029, 20.49159924389407, 0.12547019280759997, 0.5172714, 0.26551083, 6.3108773, -3.1062822, 2.069868248039533, 0.002934141585189103, 0.14996932, 0.11683261113807072]",
folder5/MAAAGIC - YALLA HABIBI - ( Officiel Video Clip ) [WM8-Ll5XiwE].mp3,MAAAGIC ,folder5/MAAAGIC ,"[0.37209383, 2567.0332567783516, 2419.621829224779, 5378.4567307692305, 20.94950912157802, 0.17193652964719094, 0.4449678, 0.24638174, 18.244823, 2.0885925, 3.1449923344437463, -0.0036576848285694856, 0.24792613, 0.12667929798789174]",
folder5/Fayrouz Arkan - Benak W Biny (Official Lyrics Video) ｜ فيروز اركان - بينك وبيني [ADk4oentJ9E].mp3,Fayrouz Arkan ,folder5/Fayrouz Arkan ,"[0.31816277, 2414.6337538869157, 2452.900494242462, 5281.748299404136, 21.698021707135563, 0.22998424923886274, 0.4534013, 0.25221497, 5.735287, -0.5854333, 1.7958225972004997, -0.0020351102831052364, 0.13996467, 0.11224404555520759]",
folder5/Faydee - Habibi Albi ft Leftside (Official Music Video) [B9nUT5CW3Tg].mp3,Faydee ,folder5/Faydee ,"[0.345898, 2733.105503268234, 2373.047344702776, 5457.39759577324, 20.626224149808273, 0.16596822852754597, 0.52549964, 0.2607334, 14.39542, -0.15896586, 3.5169092335931134, -0.005408597280087042, 0.24092978, 0.15963449431204227]",
folder5/LARGE - HARDEES X DAFFY - هارديز - لارج  x دافي [ynZBTHPRWn8].mp3,LARGE ,folder5/LARGE ,"[0.383921, 2565.7696124125882, 2384.1534302837454, 5188.296978414977, 20.664206798623773, 0.13904742274552112, 0.53417987, 0.26772085, 11.06403, -1.0961809, 2.537344681217245, -0.00017833309306732818, 0.19210605, 0.13646306598083052]",
folder5/Fayrouz Arkan - Bet7lef Leh (Official Lyrics Video) ｜ فيروز اركان - بتحلف ليه [Vmo8sNUIFkE].mp3,Fayrouz Arkan ,folder5/Fayrouz Arkan ,"[0.37437612, 2266.656875990685, 2490.7347399981663, 5068.440395707262, 21.675976207653893, 0.18014512910489877, 0.5477891, 0.26894102, 7.5692086, 1.3951472, 2.370499723112611, 0.0047628138366226334, 0.1749432, 0.10282150476314296]",
folder5/Jalal Alzain - Anta Alhayat (Official Video) ｜ جلال الزين - انت الحياة - فيديو كليب [8YcVTR19mKs].mp3,Jalal Alzain ,folder5/Jalal Alzain ,"[0.34227028, 2706.8999913481343, 2478.057685064878, 5696.975814091552, 21.64738389941851, 0.20625085807184648, 0.5385688, 0.2709859, 4.077456, -2.1876347, 1.963189036141384, 0.004445171980183817, 0.13395414, 0.1554882271155734]",
folder5/Jason Derulo Ft. Tamer Hosny ... Colors (Coca-Cola Anthem for the 2018 FIFA World Cup) [jjqHvmpZRYc].mp3,Jason Derulo Ft. Tamer Hosny ... Colors (Coca,folder5/Jason Derulo Ft. Tamer Hosny ... Colors (Coca,"[0.38514763, 2491.5325247089963, 2359.1931018880896, 5176.809868855348, 20.78816890979391, 0.17096792292725882, 0.5655424, 0.27445993, 6.4730544, -0.8312869, 2.254990974258032, 0.010518859726736567, 0.15626656, 0.13987602621822035]",
folder5/Maan Barghouth - Alqa [Official Music Video] (2018) ⧸ معن برغوث - علقة [T8EZ-2NQtT8].mp3,Maan Barghouth ,folder5/Maan Barghouth ,"[0.37668172, 2738.182276016145, 2570.0242551934125, 5897.963735219595, 20.62377913114228, 0.16448995904404284, 0.56262344, 0.27362922, 12.416173, 1.8210204, 3.6863841896192935, 0.0033238845165038298, 0.23759115, 0.14704733693823133]",
folder5/Ibtissam Tiskat - Eddalem (EXCLUSIVE Music Video) ｜ (إبتسام تسكت - الظالم (فيديو كليب [vAY7lZVZ6tA].mp3,Ibtissam Tiskat ,folder5/Ibtissam Tiskat ,"[0.38605437, 3651.951572486328, 2939.5705004643014, 7431.5862671507775, 20.884506307965175, 0.18361997358400453, 0.5549081, 0.27551422, 12.396391, 2.9703093, 3.7126142326722844, -0.001687096135866317, 0.25540775, 0.2275333753639767]",
folder5/Issam Alnajjar - ANSAKI (Official Music Video) [reylDv2W4V4].mp3,Issam Alnajjar ,folder5/Issam Alnajjar ,"[0.40059647, 2061.7912578634428, 2236.3582459322283, 4439.089223500845, 20.549311002715683, 0.19726789365737518, 0.57240534, 0.26562476, 26.95062, 4.187818, 4.546184483800472, -0.001977399937989665, 0.316539, 0.09148118706942236]",
folder5/Latifa - Fresh [Official Music Video] (2018) ⧸ لطيفة - فريش [9QajI48wx3c].mp3,Latifa ,folder5/Latifa ,"[0.42348343, 2829.905599583162, 2529.1235046656784, 5836.938453282189, 20.58921859110494, 0.182518892432694, 0.57048315, 0.27147838, 10.880233, 2.0000532, 3.434441546716487, -0.004529968801256297, 0.22416936, 0.16050592027629446]",
folder5/Jerry Ghazal - Chou Kenna Lta2ayna [Official Music Video] (2018) ⧸ جيري غزال - شو كنّا التقينا [as4NBqwvMww].mp3,Jerry Ghazal ,folder5/Jerry Ghazal ,"[0.36342964, 2105.2384228032474, 2186.2520201058414, 4320.584300335948, 21.74413779593991, 0.22591377064863655, 0.47967282, 0.2545694, 2.0184293, -4.4260793, 1.2576296432238587, 0.011936429478771039, 0.08604085, 0.10828937401762079]",
folder5/Layal Abboud and Ali Deek Lmjaneen music video ⧸  ليال عبود وعلي الديك لمجانين الكليب الرسمي [nybeCCpAn5M].mp3,Layal Abboud and Ali Deek Lmjaneen music video ⧸  ليال عبود وعلي الديك لمجانين الكليب الرسمي [nybeCCpAn5M].mp3,folder5/Layal Abboud and Ali Deek Lmjaneen music video ⧸  ليال عبود وعلي الديك لمجانين الكليب الرسمي [nybeCCpAn5M].mp3,"[0.37196597, 2572.127141205575, 2414.002028280464, 5441.266774823589, 20.38144383883533, 0.17992052424368896, 0.5153726, 0.2587603, 4.831867, -0.43138692, 2.2749589077964627, -0.000229095165402156, 0.14559957, 0.1338248304141465]",
folder5/Joseph Attieh - Tghayyari [Official Music Video] ⧸ جوزيف عطية - تغيري [CaQJ9dh9s1o].mp3,Joseph Attieh ,folder5/Joseph Attieh ,"[0.3331977, 2360.8168270893734, 2358.181596263104, 4856.663742844689, 22.084140262298103, 0.22145152466118223, 0.4719401, 0.25637114, 4.1302705, -2.53636, 1.7871983759290413, -0.0040682027871275315, 0.12982163, 0.12626031892886394]",
folder5/Jaylann - Asabaka Ichq (Cover) ｜ جيلان - أصابك عشق [erDo59RD9gI].mp3,Jaylann ,folder5/Jaylann ,"[0.27605975, 1868.108812370571, 1999.0640770510095, 3768.667006480582, 22.18579554549622, 0.20615453243609946, 0.4727481, 0.2571542, 3.2387183, -6.981084, 1.267948149946631, 0.006881029641255569, 0.104195, 0.09534210146550419]",
folder5/Kozet Dahi - Habibi (Cover) 2018 - كوزيت ضاحي - حبيبي [FO6Wn6HFxRA].mp3,Kozet Dahi ,folder5/Kozet Dahi ,"[0.3545892, 2412.97478375931, 2413.794130255698, 5132.579574523582, 21.945992574264682, 0.22419294650254873, 0.4711498, 0.25343, 3.6383333, -1.4294282, 1.634080409933764, 0.003196359724255863, 0.11851545, 0.12508956405872887]",
folder5/Khaled Mounib - Mafeesh Kalam Yet'al ｜ خالد منيب - مفيش كلام يتقال [zVGRIl4rsNk].mp3,Khaled Mounib ,folder5/Khaled Mounib ,"[0.35693648, 2254.82227819845, 2247.3707782395245, 4754.76531337653, 21.269877761148017, 0.22073719178159112, 0.5229685, 0.26403758, 16.802673, 1.8265508, 4.054924789855421, -0.00040167861046751013, 0.26612124, 0.12336867247832581]",
folder5/Ismael Al Jareh – Men Mshet (Exclusive) ｜اسماعيل الجريح- من مشيت #كافي تمثيل ولعب (حصريا) ｜2018 [Zp_U6JcEbFQ].mp3,Ismael Al Jareh – Men Mshet (Exclusive) ｜اسماعيل الجريح,folder5/Ismael Al Jareh – Men Mshet (Exclusive) ｜اسماعيل الجريح,"[0.337135, 2767.175187214954, 2463.320223955156, 5614.811340803558, 21.43064998164984, 0.21251438184640767, 0.5374143, 0.27356488, 13.555329, 0.13021764, 3.8274702082591743, 0.002163675739886342, 0.25700858, 0.15900876211811477]",
